"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"08.01.2023 02:00 - 08.01.2023 03:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 03:00 - 08.01.2023 04:00","4.16","","","","4.16","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 04:00 - 08.01.2023 05:00","25.91","","","","25.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 05:00 - 08.01.2023 06:00","33.00","","","","33.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 06:00 - 08.01.2023 07:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 07:00 - 08.01.2023 08:00","12.00","","","","12.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 08:00 - 08.01.2023 09:00","44.50","","","","44.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 09:00 - 08.01.2023 10:00","65.50","","","","65.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 10:00 - 08.01.2023 11:00","85.00","","","","85.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 11:00 - 08.01.2023 12:00","70.19","","","","70.19","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 12:00 - 08.01.2023 13:00","83.28","","","","83.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 13:00 - 08.01.2023 14:00","90.00","","","","90.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
